ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
215604_x_at	1.74e-01	4.64e-02	3.33		
225029_at	1.74e-01	4.64e-02	3.33	LINC01420	long intergenic non-protein coding RNA 1420
1566954_at	1.74e-01	4.64e-02	3.33		
222723_at	1.74e-01	4.64e-02	3.33	VWA1	von Willebrand factor A domain containing 1
226174_at	1.74e-01	4.64e-02	3.33	USP42	ubiquitin specific peptidase 42
239272_at	1.74e-01	4.64e-02	3.33	MMP28	matrix metallopeptidase 28
238417_at	1.74e-01	4.64e-02	3.33	PGM2L1	phosphoglucomutase 2 like 1
215855_s_at	1.74e-01	4.64e-02	3.33	TMF1	TATA element modulatory factor 1
204078_at	1.74e-01	4.64e-02	3.33	P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic)
216950_s_at	1.74e-01	4.64e-02	3.33	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia
206610_s_at	1.74e-01	4.64e-02	3.33	F11	coagulation factor XI
1556520_at	1.74e-01	4.65e-02	3.33		
214941_s_at	1.74e-01	4.65e-02	3.33	PRPF40A	pre-mRNA processing factor 40 homolog A
201729_s_at	1.74e-01	4.65e-02	3.33	KIAA0100	KIAA0100
1553193_at	1.74e-01	4.65e-02	3.33	ZNF441	zinc finger protein 441
1553497_at	1.74e-01	4.65e-02	3.33	LINC00615	long intergenic non-protein coding RNA 615
206218_at	1.74e-01	4.65e-02	3.33	MAGEB2	MAGE family member B2
212727_at	1.74e-01	4.65e-02	3.33	DLG3	discs large MAGUK scaffold protein 3
216690_at	1.74e-01	4.65e-02	3.33	OR7C1	olfactory receptor family 7 subfamily C member 1
202387_at	1.74e-01	4.65e-02	3.33	BAG1	BCL2 associated athanogene 1
32837_at	1.74e-01	4.66e-02	3.33	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
1558738_at	1.74e-01	4.66e-02	3.33	NOL3	nucleolar protein 3
242579_at	1.74e-01	4.66e-02	3.33	BMPR1B	bone morphogenetic protein receptor type 1B
243763_x_at	1.74e-01	4.66e-02	3.33		
1557400_at	1.74e-01	4.66e-02	3.33		
212218_s_at	1.74e-01	4.66e-02	3.33	FASN	fatty acid synthase
229939_at	1.74e-01	4.66e-02	3.33	ENDOV	endonuclease V
201697_s_at	1.74e-01	4.66e-02	3.33	DNMT1	DNA (cytosine-5-)-methyltransferase 1
239994_at	1.74e-01	4.66e-02	3.33	B3GALT5	beta-1,3-galactosyltransferase 5
235984_at	1.74e-01	4.66e-02	3.33		
217036_at	1.74e-01	4.66e-02	3.33		
217320_at	1.74e-01	4.66e-02	3.33	LOC100293211	uncharacterized LOC100293211
221094_s_at	1.74e-01	4.67e-02	3.33	ELP3	elongator acetyltransferase complex subunit 3
205363_at	1.74e-01	4.67e-02	3.33	BBOX1	gamma-butyrobetaine hydroxylase 1
243383_at	1.74e-01	4.67e-02	3.33		
225440_at	1.74e-01	4.67e-02	3.33	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
241520_x_at	1.74e-01	4.67e-02	3.33		
224788_at	1.74e-01	4.67e-02	3.33	ARF6	ADP ribosylation factor 6
239002_at	1.74e-01	4.67e-02	3.33	ASPM	abnormal spindle microtubule assembly
236966_at	1.74e-01	4.67e-02	3.33	ARMC8	armadillo repeat containing 8
201490_s_at	1.74e-01	4.67e-02	3.32	PPIF	peptidylprolyl isomerase F
233474_at	1.74e-01	4.67e-02	3.32	LOC284240	uncharacterized LOC284240
244833_at	1.74e-01	4.67e-02	3.32	CCDC63	coiled-coil domain containing 63
220826_at	1.74e-01	4.67e-02	3.32	TCP10L	t-complex 10-like
201131_s_at	1.75e-01	4.68e-02	3.32	CDH1	cadherin 1
204659_s_at	1.75e-01	4.68e-02	3.32	GFER	growth factor, augmenter of liver regeneration
243776_at	1.75e-01	4.68e-02	3.32	LOC105374428	uncharacterized LOC105374428
244465_at	1.75e-01	4.68e-02	3.32		
208770_s_at	1.75e-01	4.68e-02	3.32	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2
233916_at	1.75e-01	4.68e-02	3.32	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
1559529_at	1.75e-01	4.68e-02	3.32	PTK2	protein tyrosine kinase 2
243683_at	1.75e-01	4.68e-02	3.32	MORF4L2	mortality factor 4 like 2
210204_s_at	1.75e-01	4.68e-02	3.32	CNOT4	CCR4-NOT transcription complex subunit 4
236193_at	1.75e-01	4.68e-02	3.32	HIST1H2BC	histone cluster 1, H2bc
1556373_a_at	1.75e-01	4.68e-02	3.32	FAM185A	family with sequence similarity 185 member A
37872_at	1.75e-01	4.68e-02	3.32	JRK	Jrk helix-turn-helix protein
223695_s_at	1.75e-01	4.68e-02	3.32	ARSD	arylsulfatase D
210838_s_at	1.75e-01	4.68e-02	3.32	ACVRL1	activin A receptor like type 1
231281_at	1.75e-01	4.68e-02	3.32		
213947_s_at	1.75e-01	4.69e-02	3.32	NUP210	nucleoporin 210
222044_at	1.75e-01	4.69e-02	3.32	LOC643549///PCIF1	uncharacterized LOC643549///PDX1 C-terminal inhibiting factor 1
1561170_at	1.75e-01	4.69e-02	3.32	GOLGA6L6	golgin A6 family-like 6
1569723_a_at	1.75e-01	4.69e-02	3.32	SPIRE2	spire type actin nucleation factor 2
243723_at	1.75e-01	4.69e-02	3.32		
211202_s_at	1.75e-01	4.69e-02	3.32	KDM5B	lysine demethylase 5B
213389_at	1.75e-01	4.69e-02	3.32	ZNF592	zinc finger protein 592
223739_at	1.75e-01	4.69e-02	3.32	PADI1	peptidyl arginine deiminase 1
231546_at	1.75e-01	4.69e-02	3.32		
1559291_at	1.75e-01	4.69e-02	3.32	LINC00032	long intergenic non-protein coding RNA 32
228960_at	1.75e-01	4.69e-02	3.32	ICE2	interactor of little elongation complex ELL subunit 2
210157_at	1.75e-01	4.70e-02	3.32	URI1	URI1, prefoldin like chaperone
216232_s_at	1.75e-01	4.70e-02	3.32	GCN1	GCN1, eIF2 alpha kinase activator homolog
202683_s_at	1.75e-01	4.70e-02	3.32	RNMT	RNA guanine-7 methyltransferase
242283_at	1.75e-01	4.70e-02	3.32	DNAH14	dynein axonemal heavy chain 14
238027_at	1.75e-01	4.70e-02	3.32	SPATA24	spermatogenesis associated 24
215694_at	1.75e-01	4.70e-02	3.32	SPATA5L1	spermatogenesis associated 5 like 1
236395_at	1.75e-01	4.70e-02	3.32		
201844_s_at	1.75e-01	4.70e-02	3.32	RYBP	RING1 and YY1 binding protein
226649_at	1.75e-01	4.70e-02	3.32	PANK1	pantothenate kinase 1
1557099_at	1.75e-01	4.70e-02	3.32	LOC101929132	uncharacterized LOC101929132
209516_at	1.75e-01	4.70e-02	3.32	SMYD5	SMYD family member 5
209114_at	1.75e-01	4.70e-02	3.32	TSPAN1	tetraspanin 1
212925_at	1.75e-01	4.70e-02	3.32	MISP	mitotic spindle positioning
242789_at	1.75e-01	4.71e-02	3.32	PDE1A	phosphodiesterase 1A
1554057_at	1.75e-01	4.71e-02	3.32	ASH1L-AS1	ASH1L antisense RNA 1
228448_at	1.75e-01	4.71e-02	3.32	MAP6	microtubule associated protein 6
212866_at	1.75e-01	4.71e-02	3.32	R3HCC1	R3H domain and coiled-coil containing 1
210593_at	1.75e-01	4.71e-02	3.32	ZSWIM8///SAT1	zinc finger SWIM-type containing 8///spermidine/spermine N1-acetyltransferase 1
200636_s_at	1.75e-01	4.71e-02	3.32	PTPRF	protein tyrosine phosphatase, receptor type F
224983_at	1.75e-01	4.71e-02	3.32	SCARB2	scavenger receptor class B member 2
242167_at	1.75e-01	4.71e-02	3.32		
213026_at	1.75e-01	4.71e-02	3.32	ATG12	autophagy related 12
243251_at	1.75e-01	4.71e-02	3.32	LOC101929719	uncharacterized LOC101929719
239313_at	1.75e-01	4.71e-02	3.32	LOC101928623///LOC401320	uncharacterized LOC101928623///uncharacterized LOC401320
217900_at	1.75e-01	4.71e-02	3.32	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial
228006_at	1.75e-01	4.71e-02	3.31	PTEN	phosphatase and tensin homolog
211867_s_at	1.75e-01	4.71e-02	3.31	PCDHA10	protocadherin alpha 10
1570469_at	1.75e-01	4.72e-02	3.31		
223282_at	1.75e-01	4.72e-02	3.31	TSHZ1	teashirt zinc finger homeobox 1
1566825_at	1.75e-01	4.72e-02	3.31		
1568629_s_at	1.75e-01	4.72e-02	3.31	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
219227_at	1.75e-01	4.72e-02	3.31	CCNJL	cyclin J like
230948_at	1.75e-01	4.72e-02	3.31		
244890_at	1.75e-01	4.72e-02	3.31		
207391_s_at	1.76e-01	4.72e-02	3.31	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
215507_x_at	1.76e-01	4.72e-02	3.31	RAB22A	RAB22A, member RAS oncogene family
229369_at	1.76e-01	4.72e-02	3.31	VSIG2	V-set and immunoglobulin domain containing 2
221804_s_at	1.76e-01	4.72e-02	3.31	FAM45A///FAM45BP	family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene
1554452_a_at	1.76e-01	4.72e-02	3.31	HILPDA	hypoxia inducible lipid droplet associated
210177_at	1.76e-01	4.72e-02	3.31	TRIM15	tripartite motif containing 15
233135_at	1.76e-01	4.73e-02	3.31	LINC01007	long intergenic non-protein coding RNA 1007
226032_at	1.76e-01	4.73e-02	3.31	CASP2	caspase 2
1554565_x_at	1.76e-01	4.73e-02	3.31	SPPL3	signal peptide peptidase like 3
201217_x_at	1.76e-01	4.73e-02	3.31	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
214186_s_at	1.76e-01	4.73e-02	3.31	HCG26	HLA complex group 26 (non-protein coding)
229865_at	1.76e-01	4.73e-02	3.31	LOC101928615///FNDC3B	uncharacterized LOC101928615///fibronectin type III domain containing 3B
220336_s_at	1.76e-01	4.73e-02	3.31	GP6	glycoprotein VI platelet
243770_at	1.76e-01	4.73e-02	3.31	ZNF483	zinc finger protein 483
207531_at	1.76e-01	4.73e-02	3.31	CRYGC	crystallin gamma C
226278_at	1.76e-01	4.73e-02	3.31	SVIP	small VCP interacting protein
218219_s_at	1.76e-01	4.73e-02	3.31	LANCL2	LanC like 2
229246_at	1.76e-01	4.74e-02	3.31	SRSF1	serine and arginine rich splicing factor 1
215435_at	1.76e-01	4.74e-02	3.31		
235293_at	1.76e-01	4.74e-02	3.31		
229986_at	1.76e-01	4.74e-02	3.31	ZNF717	zinc finger protein 717
241400_at	1.76e-01	4.74e-02	3.31		
216109_at	1.76e-01	4.74e-02	3.31	MED13L	mediator complex subunit 13 like
227833_s_at	1.76e-01	4.74e-02	3.31	MBD6	methyl-CpG binding domain protein 6
231558_at	1.76e-01	4.74e-02	3.31	INSM1	INSM transcriptional repressor 1
230098_at	1.76e-01	4.74e-02	3.31	PHF20L1	PHD finger protein 20-like 1
207357_s_at	1.76e-01	4.74e-02	3.31	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10
230302_at	1.76e-01	4.74e-02	3.31		
1558210_at	1.76e-01	4.74e-02	3.31	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
235835_at	1.76e-01	4.74e-02	3.31		
1563856_at	1.76e-01	4.74e-02	3.31		
212734_x_at	1.76e-01	4.74e-02	3.31	SNORD68///RPL13	small nucleolar RNA, C/D box 68///ribosomal protein L13
219681_s_at	1.76e-01	4.74e-02	3.31	RAB11FIP1	RAB11 family interacting protein 1
238946_at	1.76e-01	4.74e-02	3.31		
225792_at	1.76e-01	4.74e-02	3.31	HOOK1	hook microtubule tethering protein 1
223524_s_at	1.76e-01	4.74e-02	3.31	TMEM108	transmembrane protein 108
239235_at	1.76e-01	4.74e-02	3.31		
228719_at	1.76e-01	4.74e-02	3.31	ZSWIM7	zinc finger SWIM-type containing 7
212648_at	1.76e-01	4.75e-02	3.31	DHX29	DEAH-box helicase 29
201193_at	1.76e-01	4.75e-02	3.31	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic
204488_at	1.76e-01	4.75e-02	3.31	DOLK	dolichol kinase
204444_at	1.76e-01	4.75e-02	3.31	KIF11	kinesin family member 11
201664_at	1.76e-01	4.75e-02	3.31	SMC4	structural maintenance of chromosomes 4
224391_s_at	1.76e-01	4.75e-02	3.31	SIAE	sialic acid acetylesterase
213362_at	1.76e-01	4.75e-02	3.31	PTPRD	protein tyrosine phosphatase, receptor type D
219584_at	1.76e-01	4.75e-02	3.31	PLA1A	phospholipase A1 member A
1565748_at	1.76e-01	4.75e-02	3.31	IPO5P1	importin 5 pseudogene 1
206522_at	1.76e-01	4.75e-02	3.31	MGAM	maltase-glucoamylase
229711_s_at	1.76e-01	4.75e-02	3.31	MDM2	MDM2 proto-oncogene
236525_at	1.76e-01	4.75e-02	3.31	FBXO36	F-box protein 36
240603_s_at	1.76e-01	4.75e-02	3.30	ERI2	ERI1 exoribonuclease family member 2
1562794_at	1.76e-01	4.75e-02	3.30		
243432_at	1.76e-01	4.76e-02	3.30		
204252_at	1.76e-01	4.76e-02	3.30	CDK2	cyclin dependent kinase 2
224134_at	1.76e-01	4.76e-02	3.30	MGC10814	uncharacterized protein MGC10814
243219_x_at	1.76e-01	4.76e-02	3.30	MRPL50	mitochondrial ribosomal protein L50
239182_at	1.76e-01	4.76e-02	3.30	HAGLR	HOXD antisense growth-associated long non-coding RNA
227043_at	1.76e-01	4.76e-02	3.30	CCDC159	coiled-coil domain containing 159
231780_at	1.76e-01	4.76e-02	3.30	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
219147_s_at	1.76e-01	4.76e-02	3.30	NMRK1	nicotinamide riboside kinase 1
222184_at	1.76e-01	4.76e-02	3.30	LINC00965	long intergenic non-protein coding RNA 965
204994_at	1.76e-01	4.76e-02	3.30	MX2	MX dynamin like GTPase 2
214068_at	1.76e-01	4.76e-02	3.30	BEAN1	brain expressed, associated with NEDD4, 1
213060_s_at	1.76e-01	4.76e-02	3.30	CHI3L2	chitinase 3 like 2
1559640_at	1.76e-01	4.76e-02	3.30	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1
223264_at	1.76e-01	4.76e-02	3.30	MESDC1	mesoderm development candidate 1
205299_s_at	1.76e-01	4.76e-02	3.30	BTN2A2	butyrophilin subfamily 2 member A2
241176_at	1.76e-01	4.77e-02	3.30		
200007_at	1.76e-01	4.77e-02	3.30	SRP14	signal recognition particle 14
228444_at	1.76e-01	4.77e-02	3.30	ARRB1	arrestin beta 1
1563142_at	1.76e-01	4.77e-02	3.30	LOC105373418	uncharacterized LOC105373418
235589_s_at	1.76e-01	4.77e-02	3.30		
231355_at	1.76e-01	4.77e-02	3.30	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
1566502_at	1.76e-01	4.77e-02	3.30		
AFFX-hum_alu_at	1.76e-01	4.77e-02	3.30		
1560982_at	1.76e-01	4.77e-02	3.30		
242722_at	1.76e-01	4.77e-02	3.30	LMO7	LIM domain 7
205537_s_at	1.76e-01	4.77e-02	3.30	VAV2	vav guanine nucleotide exchange factor 2
228721_at	1.76e-01	4.77e-02	3.30	KRBOX1	KRAB box domain containing 1
226616_s_at	1.76e-01	4.77e-02	3.30	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3
229819_at	1.76e-01	4.77e-02	3.30	A1BG	alpha-1-B glycoprotein
213600_at	1.76e-01	4.77e-02	3.30	SIPA1L3	signal induced proliferation associated 1 like 3
222238_s_at	1.76e-01	4.77e-02	3.30	POLM	DNA polymerase mu
224124_at	1.77e-01	4.78e-02	3.30	ZRANB3	zinc finger RANBP2-type containing 3
225195_at	1.77e-01	4.78e-02	3.30	DPH3	diphthamide biosynthesis 3
234205_at	1.77e-01	4.78e-02	3.30		
240496_at	1.77e-01	4.78e-02	3.30		
1560285_at	1.77e-01	4.78e-02	3.30	LOC101928955	uncharacterized LOC101928955
236269_at	1.77e-01	4.78e-02	3.30	ZNF628	zinc finger protein 628
226804_at	1.77e-01	4.78e-02	3.30	FAM20A	family with sequence similarity 20 member A
231797_at	1.77e-01	4.78e-02	3.30	SIX4	SIX homeobox 4
1559039_at	1.77e-01	4.78e-02	3.30	DHX36	DEAH-box helicase 36
243207_at	1.77e-01	4.78e-02	3.30		
206240_s_at	1.77e-01	4.78e-02	3.30	ZNF136	zinc finger protein 136
235773_at	1.77e-01	4.78e-02	3.30	ZIK1	zinc finger protein interacting with K protein 1
224801_at	1.77e-01	4.78e-02	3.30	NDFIP2	Nedd4 family interacting protein 2
1553663_a_at	1.77e-01	4.78e-02	3.30	NPB	neuropeptide B
208964_s_at	1.77e-01	4.78e-02	3.30	MIR1908///FADS1	microRNA 1908///fatty acid desaturase 1
244363_at	1.77e-01	4.79e-02	3.30	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase
1556567_at	1.77e-01	4.79e-02	3.30	NAP1L4	nucleosome assembly protein 1 like 4
1554818_s_at	1.77e-01	4.79e-02	3.30	DZANK1	double zinc ribbon and ankyrin repeat domains 1
218420_s_at	1.77e-01	4.79e-02	3.30	PROSER1	proline and serine rich 1
225124_at	1.77e-01	4.79e-02	3.30	PPP1R9B	protein phosphatase 1 regulatory subunit 9B
234268_at	1.77e-01	4.79e-02	3.30	SLC2A13	solute carrier family 2 member 13
220372_at	1.77e-01	4.79e-02	3.30	DNAJC28	DnaJ heat shock protein family (Hsp40) member C28
1561598_at	1.77e-01	4.79e-02	3.30	LOC105373434	uncharacterized LOC105373434
232176_at	1.77e-01	4.79e-02	3.30	SLITRK6	SLIT and NTRK like family member 6
240882_at	1.77e-01	4.80e-02	3.29	LOC100506289	uncharacterized LOC100506289
244122_at	1.77e-01	4.80e-02	3.29	MGST3	microsomal glutathione S-transferase 3
1563032_at	1.77e-01	4.80e-02	3.29		
1552274_at	1.77e-01	4.80e-02	3.29	PXK	PX domain containing serine/threonine kinase like
1568799_at	1.77e-01	4.80e-02	3.29	SLC16A1-AS1	SLC16A1 antisense RNA 1
1560353_at	1.77e-01	4.80e-02	3.29		
208856_x_at	1.77e-01	4.80e-02	3.29	RPLP0	ribosomal protein lateral stalk subunit P0
1569409_x_at	1.77e-01	4.80e-02	3.29		
213411_at	1.77e-01	4.80e-02	3.29	ADAM22	ADAM metallopeptidase domain 22
1559950_at	1.77e-01	4.80e-02	3.29	LOC102725108///LOC101928910///FAM66D///FAM66B///FAM66C	uncharacterized LOC102725108///uncharacterized LOC101928910///family with sequence similarity 66 member D///family with sequence similarity 66 member B///family with sequence similarity 66 member C
226875_at	1.77e-01	4.80e-02	3.29	DOCK11	dedicator of cytokinesis 11
234669_x_at	1.77e-01	4.80e-02	3.29	EMSY	EMSY, BRCA2 interacting transcriptional repressor
226983_at	1.77e-01	4.80e-02	3.29	ZNF777	zinc finger protein 777
239587_at	1.77e-01	4.80e-02	3.29	TLR3	toll like receptor 3
226568_at	1.77e-01	4.81e-02	3.29	FAM102B	family with sequence similarity 102 member B
240797_at	1.77e-01	4.81e-02	3.29	PERP	PERP, TP53 apoptosis effector
217648_at	1.77e-01	4.81e-02	3.29		
202166_s_at	1.77e-01	4.81e-02	3.29	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2
240684_at	1.77e-01	4.81e-02	3.29		
208279_s_at	1.77e-01	4.81e-02	3.29	CDRT1	CMT1A duplicated region transcript 1
236506_at	1.77e-01	4.81e-02	3.29		
233912_x_at	1.77e-01	4.81e-02	3.29	ELMOD2	ELMO domain containing 2
214980_at	1.77e-01	4.81e-02	3.29	UBE3A	ubiquitin protein ligase E3A
1562373_at	1.77e-01	4.81e-02	3.29	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
207179_at	1.77e-01	4.81e-02	3.29	TLX1	T-cell leukemia homeobox 1
200034_s_at	1.77e-01	4.81e-02	3.29	RPL6	ribosomal protein L6
202934_at	1.77e-01	4.81e-02	3.29	HK2	hexokinase 2
204910_s_at	1.77e-01	4.82e-02	3.29	TRIM3	tripartite motif containing 3
226277_at	1.77e-01	4.82e-02	3.29	COL4A3BP	collagen type IV alpha 3 binding protein
234572_at	1.77e-01	4.82e-02	3.29		
201586_s_at	1.77e-01	4.82e-02	3.29	SFPQ	splicing factor proline and glutamine rich
223740_at	1.77e-01	4.82e-02	3.29	AGPAT4-IT1	AGPAT4 intronic transcript 1
220515_at	1.77e-01	4.82e-02	3.29	DUSP21	dual specificity phosphatase 21
204674_at	1.77e-01	4.82e-02	3.29	LRMP	lymphoid restricted membrane protein
205135_s_at	1.77e-01	4.82e-02	3.29	NUFIP1	NUFIP1, FMR1 interacting protein 1
218357_s_at	1.77e-01	4.82e-02	3.29	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B
218770_s_at	1.78e-01	4.82e-02	3.29	TMEM39B	transmembrane protein 39B
206081_at	1.78e-01	4.82e-02	3.29	SLC24A1	solute carrier family 24 member 1
233597_at	1.78e-01	4.82e-02	3.29	PNPLA5	patatin like phospholipase domain containing 5
200695_at	1.78e-01	4.82e-02	3.29	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha
200666_s_at	1.78e-01	4.82e-02	3.29	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1
1554396_at	1.78e-01	4.83e-02	3.29	UEVLD	UEV and lactate/malate dehyrogenase domains
1553162_x_at	1.78e-01	4.83e-02	3.29	PROSER3	proline and serine rich 3
224814_at	1.78e-01	4.83e-02	3.29	DPP7	dipeptidyl peptidase 7
224835_at	1.78e-01	4.83e-02	3.29	GPCPD1	glycerophosphocholine phosphodiesterase 1
209092_s_at	1.78e-01	4.83e-02	3.29	GLOD4	glyoxalase domain containing 4
1561329_s_at	1.78e-01	4.83e-02	3.29	RPUSD3	RNA pseudouridylate synthase domain containing 3
1567059_at	1.78e-01	4.83e-02	3.29	OR8G1	olfactory receptor family 8 subfamily G member 1 (gene/pseudogene)
242087_x_at	1.78e-01	4.83e-02	3.29	MFI2-AS1	MFI2 antisense RNA 1
242701_at	1.78e-01	4.83e-02	3.29	TBRG1	transforming growth factor beta regulator 1
37831_at	1.78e-01	4.83e-02	3.29	SIPA1L3	signal induced proliferation associated 1 like 3
1562239_at	1.78e-01	4.83e-02	3.29	SGSM1	small G protein signaling modulator 1
223307_at	1.78e-01	4.83e-02	3.29	CDCA3	cell division cycle associated 3
243321_at	1.78e-01	4.84e-02	3.29		
1561844_at	1.78e-01	4.84e-02	3.29		
217510_at	1.78e-01	4.84e-02	3.28	CRX	cone-rod homeobox
214303_x_at	1.78e-01	4.84e-02	3.28	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming
1555558_at	1.78e-01	4.84e-02	3.28	USP25	ubiquitin specific peptidase 25
1553644_at	1.78e-01	4.84e-02	3.28	SYNE3	spectrin repeat containing nuclear envelope family member 3
238254_at	1.78e-01	4.84e-02	3.28	ZNF677	zinc finger protein 677
242671_at	1.78e-01	4.84e-02	3.28		
244648_at	1.78e-01	4.84e-02	3.28		
227537_s_at	1.78e-01	4.84e-02	3.28	SP3	Sp3 transcription factor
240861_at	1.78e-01	4.84e-02	3.28		
212919_at	1.78e-01	4.84e-02	3.28	DCP2	decapping mRNA 2
203263_s_at	1.78e-01	4.84e-02	3.28	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9
237543_at	1.78e-01	4.84e-02	3.28	LOC100506286	uncharacterized LOC100506286
236635_at	1.78e-01	4.84e-02	3.28	ZNF667	zinc finger protein 667
1563466_at	1.78e-01	4.84e-02	3.28	MYLK	myosin light chain kinase
227997_at	1.78e-01	4.84e-02	3.28	IL17RD	interleukin 17 receptor D
240851_at	1.78e-01	4.84e-02	3.28		
AFFX-HUMGAPDH/M33197_3_at	1.78e-01	4.84e-02	3.28	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
234529_at	1.78e-01	4.84e-02	3.28	PCGEM1	PCGEM1, prostate-specific transcript (non-protein coding)
216368_s_at	1.78e-01	4.84e-02	3.28	COL4A3	collagen type IV alpha 3 chain
230980_x_at	1.78e-01	4.85e-02	3.28	MIR142	microRNA 142
213893_x_at	1.78e-01	4.85e-02	3.28	PMS2P9///PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5
1570134_at	1.78e-01	4.85e-02	3.28		
234375_x_at	1.78e-01	4.85e-02	3.28		
1570296_at	1.78e-01	4.85e-02	3.28		
208690_s_at	1.78e-01	4.85e-02	3.28	PDLIM1	PDZ and LIM domain 1
241437_s_at	1.78e-01	4.85e-02	3.28	EP400NL	EP400 N-terminal like
1553918_at	1.78e-01	4.85e-02	3.28	LINC00479	long intergenic non-protein coding RNA 479
1558230_at	1.78e-01	4.85e-02	3.28	SF3B2	splicing factor 3b subunit 2
242076_at	1.78e-01	4.86e-02	3.28		
229569_at	1.78e-01	4.86e-02	3.28		
1553488_at	1.78e-01	4.86e-02	3.28	TEKT5	tektin 5
238297_at	1.78e-01	4.86e-02	3.28		
221168_at	1.78e-01	4.86e-02	3.28	PRDM13	PR/SET domain 13
222172_at	1.78e-01	4.86e-02	3.28	NPAS3	neuronal PAS domain protein 3
201733_at	1.78e-01	4.86e-02	3.28	CLCN3	chloride voltage-gated channel 3
227165_at	1.78e-01	4.86e-02	3.28	SKA3	spindle and kinetochore associated complex subunit 3
215595_x_at	1.78e-01	4.86e-02	3.28		
232034_at	1.78e-01	4.86e-02	3.28	LINC00537	long intergenic non-protein coding RNA 537
1554229_at	1.78e-01	4.86e-02	3.28	CREBRF	CREB3 regulatory factor
244733_at	1.78e-01	4.86e-02	3.28		
211173_at	1.78e-01	4.86e-02	3.28	CCKAR	cholecystokinin A receptor
233296_x_at	1.78e-01	4.87e-02	3.28		
201665_x_at	1.78e-01	4.87e-02	3.28	RPS17	ribosomal protein S17
207663_x_at	1.78e-01	4.87e-02	3.28	GAGE3	G antigen 3
206043_s_at	1.78e-01	4.87e-02	3.28	ATP2C2	ATPase secretory pathway Ca2+ transporting 2
228634_s_at	1.78e-01	4.87e-02	3.28	YBX3	Y-box binding protein 3
1562811_at	1.78e-01	4.87e-02	3.28	CTD-2194D22.4	uncharacterized LOC101929081
228962_at	1.78e-01	4.87e-02	3.28	PDE4D	phosphodiesterase 4D
216462_at	1.78e-01	4.87e-02	3.28		
203925_at	1.78e-01	4.87e-02	3.28	GCLM	glutamate-cysteine ligase modifier subunit
240553_at	1.78e-01	4.87e-02	3.28	TESC	tescalcin
235514_at	1.79e-01	4.87e-02	3.28	ASPRV1	aspartic peptidase, retroviral-like 1
238195_at	1.79e-01	4.87e-02	3.28		
226003_at	1.79e-01	4.87e-02	3.28	KIF21A	kinesin family member 21A
230779_at	1.79e-01	4.87e-02	3.28	TNRC6B	trinucleotide repeat containing 6B
203571_s_at	1.79e-01	4.87e-02	3.28	ADIRF	adipogenesis regulatory factor
240078_at	1.79e-01	4.87e-02	3.28	SFSWAP	splicing factor SWAP homolog
223163_s_at	1.79e-01	4.88e-02	3.28	ZC3HC1	zinc finger C3HC-type containing 1
36475_at	1.79e-01	4.88e-02	3.28	GCAT	glycine C-acetyltransferase
201690_s_at	1.79e-01	4.88e-02	3.28	TPD52	tumor protein D52
55065_at	1.79e-01	4.88e-02	3.28	MARK4	microtubule affinity regulating kinase 4
1561672_at	1.79e-01	4.88e-02	3.27		
234625_at	1.79e-01	4.88e-02	3.27		
237692_at	1.79e-01	4.88e-02	3.27		
208664_s_at	1.79e-01	4.88e-02	3.27	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
217830_s_at	1.79e-01	4.88e-02	3.27	NSFL1C	NSFL1 cofactor
